"","response_uuid","Trial_tot","Age","Usable frames (%)","novel_good_avg","Stimulus.type"
"151","541b92ea-6a83-4026-b6ff-72575cba1785","3","12",0.698347107438017,0.516855452240068,"Social"
"152","541b92ea-6a83-4026-b6ff-72575cba1785","4","12",0.666666666666667,0.766442696383699,"Nonsocial"
"153","541b92ea-6a83-4026-b6ff-72575cba1785","5","12",0.884297520661157,0.752613279000753,"Social"
"154","541b92ea-6a83-4026-b6ff-72575cba1785","6","12",0.789256198347107,0.49738219895288,"Nonsocial"
"155","542a740b-12ca-43b1-96a0-6b2c2142d327","1","6",0.677685950413223,0.349921321793863,"Social"
"156","542a740b-12ca-43b1-96a0-6b2c2142d327","2","6",0.528925619834711,0.40565664556962,"Nonsocial"
"157","542a740b-12ca-43b1-96a0-6b2c2142d327","3","6",0.665289256198347,0.673076923076923,"Nonsocial"
"158","5695668c-eb3e-4156-8fe9-8c8615c26a4a","1","12",0.423868312757202,0.747572815533981,"Social"
"159","5695668c-eb3e-4156-8fe9-8c8615c26a4a","2","12",0.619834710743802,0.538464223385689,"Nonsocial"
"160","5695668c-eb3e-4156-8fe9-8c8615c26a4a","3","12",0.703703703703704,0.678498221498764,"Nonsocial"
"161","5695668c-eb3e-4156-8fe9-8c8615c26a4a","4","12",0.400826446280992,0.42766323024055,"Social"
"162","5695668c-eb3e-4156-8fe9-8c8615c26a4a","5","12",0.524793388429752,0.740157480314961,"Nonsocial"
"163","5695668c-eb3e-4156-8fe9-8c8615c26a4a","6","12",0.502057613168724,0.918032786885246,"Social"
"164","5864ecf2-7993-4712-9177-f4feeab105ea","1","12",0.876543209876543,0.590971469844709,"Nonsocial"
"165","5864ecf2-7993-4712-9177-f4feeab105ea","2","12",0.942148760330578,0.677472810986743,"Social"
"166","5864ecf2-7993-4712-9177-f4feeab105ea","3","12",0.753086419753086,0.567126453383404,"Social"
"167","5864ecf2-7993-4712-9177-f4feeab105ea","4","12",0.776859504132231,0.75,"Nonsocial"
"168","5864ecf2-7993-4712-9177-f4feeab105ea","5","12",0.921487603305785,0.538445440956652,"Social"
"169","5864ecf2-7993-4712-9177-f4feeab105ea","6","12",0.487603305785124,0.405944139412748,"Nonsocial"
"170","5a7ea095-c369-46ce-9b7e-5538504dce52","1","6",0.617283950617284,0.535755395683453,"Nonsocial"
"171","5a7ea095-c369-46ce-9b7e-5538504dce52","2","6",0.772727272727273,0.828926982857714,"Social"
"172","5a7ea095-c369-46ce-9b7e-5538504dce52","3","6",0.469135802469136,0.763157894736842,"Social"
"173","5a7ea095-c369-46ce-9b7e-5538504dce52","4","6",0.793388429752066,0.714334239130435,"Nonsocial"
"174","5a7ea095-c369-46ce-9b7e-5538504dce52","5","6",0.81404958677686,0.771573604060914,"Social"
"175","5a7ea095-c369-46ce-9b7e-5538504dce52","6","6",0.380165289256198,0.276086956521739,"Nonsocial"
"176","5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","1","12",0.82716049382716,0.375572468781918,"Social"
"177","5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","2","12",0.330578512396694,0.349087078651685,"Nonsocial"
